% 1. Title: Student Transcript Database
% 
% 2. Sources:
%	(a) Creator: Unknown
%	(b) Donor: Unknown
%	(c) Date Created: Unknown
%	(d) Date Accessed: Uknown
% 
% REMOVE REDUNDANCIES!
@RELATION Student Transcript

@ATTRIBUTE transcript_id NUMERIC
@ATTRIBUTE course_num STRING
@ATTRIBUTE semester_taken STRING
@ATTRIBUTE grade_received {A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,INC,I}
@ATTRIBUTE passed {t,f}
@ATTRIBUTE course_name STRING
@ATTRIBUTE category STRING

@DATA
8,CNT 4713,Fall 2015,B,t,Net-Centric Computing,Computer Networking
8,COP 3337,Summer 2014,C+,t,Programming II,Computer Programming
8,COP 2210,Fall 2012,B-,t,Programming I,Computer Programming
8,MAD 3512,Fall 2014,C-,f,Theory of Algorithms,Discrete Mathematics
8,BSC 1010,Summer 2013,A-,t,Biology I,Biology
8,COP 4338,Summer 2015,D,f,Programming III,Computer Programming
8,COP 4338,Fall 2015,B-,t,Programming III,Computer Programming
8,MAD 2104,Spring 2013,C+,t,Discrete Math,Discrete Mathematics
8,COP 3530,Fall 2014,D-,f,Data Structures,Computer Programming
8,COP 3530,Spring 2015,C+,f,Data Structures,Computer Programming
8,ENC 1101,Spring 2013,A,t,English I,English
8,ENC 1102,Summer 2014,A,t,English I,English
8,GLY 1010,Summer 2014,A-,t,Geology I,Geology
8,CNT 4403,Spring 2016,A-,t,Intro to Computer Security,Computer Networking
